checklist_id,pland_00,pland_01,pland_02,pland_03,pland_04,pland_05,pland_06,pland_08,pland_09,pland_10,pland_11,pland_12,pland_13,pland_14,pland_15
S39830790,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S39297188,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S38731457,0.25,0,0,0,0,0.25,0,0.25,0,0,0.25,0,0,0,0
S41350866,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S39830789,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0.2,0,0,0
S39830795,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830801,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830802,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830804,0,0,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0
S39830768,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830774,0,0,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0
S39830776,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830783,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39830786,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830787,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830791,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S39830793,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S39830761,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S46700397,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
S39830780,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830798,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830807,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830775,0,0,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0
S39830785,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39830794,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S39830800,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830769,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830770,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
S39830773,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830779,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830792,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S39830758,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830763,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39830764,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830765,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830777,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830797,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39830803,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39049505,0,0,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0
S39830759,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830762,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830771,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830778,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830782,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0
S39830784,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39830796,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S39830799,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39830805,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0
S39830806,0,0,0,0,0.25,0,0,0.25,0.25,0.25,0,0,0,0,0
S41747891,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0
S39050770,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S38736611,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0
S38672696,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
S38672851,0.16666666666666666,0,0,0,0.16666666666666666,0,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0.16666666666666666,0,0
S38672648,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
S41336801,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
S41747148,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0.3333333333333333
S41747651,0.2,0.2,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0,0
S46646208,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0
S39422858,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0.3333333333333333,0,0,0
S39049260,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39049305,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39049421,0,0,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0
S39050877,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0
S39072118,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.2,0,0
S39050658,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
S39048844,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39050906,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0
S39049471,0,0,0.3333333333333333,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39050698,0,0,0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0
S39206991,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
S39048888,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
S39048965,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0.25,0,0
S39050938,0,0,0.25,0,0,0.25,0,0.25,0.25,0,0,0,0,0,0
S39049047,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
S39053627,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S39220149,0,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0.3333333333333333,0,0
S42223195,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0
S39053615,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S44090028,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0,0,0
S39297412,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0.25,0,0
S51810919,0,0,0,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0,0
S47805504,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0.25,0,0
S47821814,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S46673864,0,0.2,0.2,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0
S46679095,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
S47717548,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S47717801,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S51810693,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0.2,0,0,0
S46673688,0.16666666666666666,0,0,0,0,0.16666666666666666,0,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0,0.16666666666666666,0,0
S46675169,0.25,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25
S46679654,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0
S46679695,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
S47799020,0.2,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0
S47717958,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S46678458,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
S46673423,0,0,0,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0,0.3333333333333333,0,0
S46678728,0,0,0,0,0,0,0,0.25,0,0.25,0,0.25,0,0.25,0
S46675190,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0,0,0,0
S51811064,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0.2,0,0.2,0
S47717617,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S46679159,0.2,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0.2,0,0
S46674128,0.25,0,0,0,0,0,0,0.25,0,0.25,0.25,0,0,0,0
S47799057,0.25,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0
S47745967,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0
S46678798,0.25,0.25,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0
S46679532,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0
S46266517,0,0,0,0,0,0,0,0.25,0.25,0.25,0,0.25,0,0,0
S48350049,0.3333333333333333,0,0,0,0,0,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0,0
S51692459,0,0.25,0,0,0.25,0,0,0.25,0.25,0,0,0,0,0,0
S42923707,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S47840610,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0
S47765351,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0.2,0,0,0
S47717877,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S47980321,0,0,0.3333333333333333,0,0.3333333333333333,0,0,0.3333333333333333,0,0,0,0,0,0,0
S48241221,0.25,0,0,0,0,0,0,0.25,0,0,0.25,0,0.25,0,0
S47751099,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S51642779,0,0,0,0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,0,0,0,0,0,0
S47751220,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
S47853404,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0.2,0,0.2,0
S47716489,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
S47751107,0,0,0,0,0.3333333333333333,0,0,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0
